40052:
 num     #instances         #bytes  class name (module)
  90:            53           2120  sun.security.util.NamedCurve (java.base@17.0.6)
  91:            42           2016  com.sun.management.internal.DiagnosticCommandInfo (jdk.management@17.0.6)
  92:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17.0.6)
  93:            82           1968  java.util.concurrent.CopyOnWriteArrayList (java.base@17.0.6)
  94:            61           1952  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17.0.6)
  95:            63           1792  [Ljavax.management.MBeanOperationInfo; (java.management@17.0.6)
  96:            73           1752  java.util.Collections$UnmodifiableRandomAccessList (java.base@17.0.6)
  97:            12           1728  [Ljava.lang.invoke.MemberName; (java.base@17.0.6)
  98:            53           1696  java.security.spec.EllipticCurve (java.base@17.0.6)
  99:            53           1696  sun.security.util.ObjectIdentifier (java.base@17.0.6)
 100:            52           1664  java.lang.ref.ReferenceQueue (java.base@17.0.6)
 101:            22           1584  java.beans.PropertyDescriptor (java.desktop@17.0.6)
 102:            33           1584  java.util.Hashtable (java.base@17.0.6)
 103:            64           1552  [Ljavax.management.MBeanParameterInfo; (java.management@17.0.6)
 104:            24           1536  java.net.URL (java.base@17.0.6)
 105:            64           1536  javax.management.ObjectName$Property (java.management@17.0.6)
 106:            63           1512  java.lang.module.ModuleDescriptor$Provides (java.base@17.0.6)
 107:            63           1512  java.lang.module.ResolvedModule (java.base@17.0.6)
 108:            63           1512  jdk.internal.module.SystemModuleFinders$2 (java.base@17.0.6)
 109:            63           1512  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@17.0.6)
 110:            63           1512  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@17.0.6)
 111:            46           1472  java.util.concurrent.locks.ReentrantLock$NonfairSync (java.base@17.0.6)
 112:            30           1440  java.util.WeakHashMap (java.base@17.0.6)
 113:            45           1440  javax.management.ObjectName (java.management@17.0.6)
 114:             1           1424  [[B (java.base@17.0.6)
 115:            22           1408  sun.security.ec.SunEC$ProviderServiceA (jdk.crypto.ec@17.0.6)
 116:            43           1376  org.apache.zookeeper.txn.CreateTxn
 117:            34           1360  org.apache.log4j.Logger
 118:            42           1344  com.sun.management.internal.DiagnosticCommandImpl$Wrapper (jdk.management@17.0.6)
 119:            54           1296  java.security.spec.ECPoint (java.base@17.0.6)
 120:            27           1296  java.util.TreeMap (java.base@17.0.6)
 121:            20           1280  sun.security.ec.SunEC$ProviderService (jdk.crypto.ec@17.0.6)
 122:            53           1272  org.apache.zookeeper.data.Id
 123:            26           1248  org.apache.zookeeper.KeeperException$NodeExistsException
 124:            38           1216  java.util.Vector (java.base@17.0.6)
 125:             8           1216  org.apache.zookeeper.server.NIOServerCnxn
 126:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17.0.6)
 127:            38           1184  [Ljava.math.BigInteger; (java.base@17.0.6)
 128:            63           1176  [Lsun.reflect.generics.tree.TypeArgument; (java.base@17.0.6)
 129:            10           1120  sun.nio.ch.SocketChannelImpl (java.base@17.0.6)
 130:             1           1104  [Lsun.security.util.KnownOIDs; (java.base@17.0.6)
 131:            46           1104  com.sun.jmx.mbeanserver.PerInterface$MethodAndSig (java.management@17.0.6)
 132:            46           1104  org.apache.zookeeper.data.ACL
 133:            27           1080  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17.0.6)
 134:            45           1080  org.apache.log4j.CategoryKey
 135:             2           1064  [Ljava.lang.Integer; (java.base@17.0.6)
 136:            44           1056  java.util.Arrays$ArrayList (java.base@17.0.6)
 137:            42           1048  [Lcom.sun.management.internal.DiagnosticCommandArgumentInfo; (jdk.management@17.0.6)
 138:             1           1040  [Ljava.lang.Long; (java.base@17.0.6)
 139:            26           1040  com.sun.jmx.mbeanserver.MXBeanSupport (java.management@17.0.6)
 140:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17.0.6)
 141:            62            992  sun.reflect.generics.tree.ClassTypeSignature (java.base@17.0.6)
 142:            41            984  com.sun.jmx.mbeanserver.NamedObject (java.management@17.0.6)
 143:            61            976  jdk.internal.module.SystemModuleFinders$3 (java.base@17.0.6)
 144:            30            960  java.security.Provider$EngineDescription (java.base@17.0.6)
 145:            23            920  java.security.ProtectionDomain (java.base@17.0.6)
 146:            19            912  javax.management.openmbean.ArrayType (java.management@17.0.6)
 147:            37            888  java.lang.management.ManagementPermission (java.management@17.0.6)
 148:            22            880  java.io.FileDescriptor (java.base@17.0.6)
 149:            22            880  java.security.AccessControlContext (java.base@17.0.6)
 150:             5            872  [Z (java.base@17.0.6)
